MSSubClass	MSZoning	LotFrontage	LotArea	LotShape	LotConfig	Neighborhood	Condition1	BldgType	HouseStyle	OverallQual	OverallCond	YearBuilt	YearRemodAdd	RoofStyle	Exterior2nd	MasVnrType	MasVnrArea	ExterQual	ExterCond	Foundation	BsmtQual	BsmtExposure	BsmtFinType1	BsmtFinSF1	BsmtUnfSF	TotalBsmtSF	HeatingQC	CentralAir	Electrical	X1stFlrSF	X2ndFlrSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenQual	TotRmsAbvGrd	Fireplaces	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	PavedDrive	MoSold	YrSold	SaleType	SaleCondition	ExteriorFirst	BsmtUnfSf	BathToRoom	SalePrice
60	RL	4.1743872699	9.0419217204	Reg	Inside	CollgCr	Norm	1Fam	2Story	7	5	2003	2003	Gable	VinylSd	BrkFace	5.2781146592	Gd	TA	PConc	Gd	No	GLQ	6.5596152375	150	6.7522703761	Ex	Y	SBrkr	6.7522703761	6.7499311938	7.4442486495	1	0	2	1	3	Gd	8	0	Attchd	2003	RFn	2	6.3062752869	Y	2	2008	WD	Normal	VinylSd	5.0106352941	1.3333333333	12.2476943202
20	RL	4.3820266347	9.1695183775	Reg	FR2	Veenker	Feedr	1Fam	1Story	6	8	1976	1976	Gable	MetalSd	None	5.3565862747	TA	TA	CBlock	Gd	Gd	ALQ	6.88550967	284	7.1404530431	Ex	Y	SBrkr	7.1404530431	0	7.1404530431	0	1	2	0	3	TA	6	1	Attchd	1976	RFn	2	6.1312264895	Y	5	2007	WD	Normal	MetalSd	5.6489742382	1	12.1090109327
60	RL	4.2195077052	9.3281234076	IR1	Inside	CollgCr	Norm	1Fam	2Story	7	5	2001	2002	Gable	VinylSd	BrkFace	5.0875963352	Gd	TA	PConc	Gd	Mn	GLQ	6.1862086239	434	6.82437367	Ex	Y	SBrkr	6.82437367	6.7638849086	7.4877337614	1	0	2	1	3	Gd	6	1	Attchd	2001	RFn	2	6.410174882	Y	9	2008	WD	Normal	VinylSd	6.0730445341	1.3333333333	12.317166693
70	RL	4.0943445622	9.1642964335	IR1	Corner	Crawfor	Norm	1Fam	2Story	7	5	1915	1970	Gable	Wd Shng	None	5.8861040315	TA	TA	BrkTil	TA	No	ALQ	5.3752784077	540	6.6280413762	Gd	Y	SBrkr	6.867974409	6.6280413762	7.4483338609	1	0	1	0	3	Gd	7	1	Detchd	1998	Unf	3	6.4645883037	Y	2	2006	WD	Abnorml	Wd Sdng	6.2915691396	0.6666666667	11.8493977016
60	RL	4.4308167988	9.565213694	IR1	FR2	NoRidge	Norm	1Fam	2Story	8	5	2000	2000	Gable	VinylSd	BrkFace	5.8579331545	Gd	TA	PConc	Gd	Av	GLQ	6.4846352356	490	7.043159916	Ex	Y	SBrkr	7.043159916	6.9593985121	7.695303135	1	0	2	1	4	Gd	9	1	Attchd	2000	RFn	3	6.7286286131	Y	12	2008	WD	Normal	VinylSd	6.1944053911	1	12.4292161968
50	RL	4.4426512565	9.5549933407	IR1	Inside	Mitchel	Norm	1Fam	1.5Fin	5	5	1993	1995	Gable	VinylSd	None	3.6888794541	TA	TA	Wood	Gd	No	GLQ	6.595780514	64	6.6795991858	Ex	Y	SBrkr	6.6795991858	6.3385940782	7.2167094867	1	0	1	1	1	TA	5	0	Attchd	1993	Unf	2	6.1737861039	Y	10	2009	WD	Normal	VinylSd	4.1588830834	3	11.8705999092
20	RL	4.3174881135	9.2187052883	Reg	Inside	Somerst	Norm	1Fam	1Story	8	5	2004	2005	Gable	VinylSd	Stone	5.2257466737	Gd	TA	PConc	Ex	Av	GLQ	7.2218358253	317	7.4301141386	Ex	Y	SBrkr	7.4348478752	0	7.4348478752	1	0	2	0	3	Gd	7	1	Attchd	2004	RFn	2	6.4551985633	Y	8	2007	WD	Normal	VinylSd	5.7589017739	1	12.6346030266
60	RL	4.3820266347	9.2478288164	IR1	Corner	NWAmes	PosN	1Fam	2Story	7	6	1973	1973	Gable	HdBoard	Stone	5.4806389233	TA	TA	CBlock	Gd	Mn	ALQ	6.755768922	216	7.0094089327	Ex	Y	SBrkr	7.0094089327	6.8906091201	7.644919345	1	0	2	1	3	TA	7	2	Attchd	1973	RFn	2	6.1820849067	Y	11	2009	WD	Normal	HdBoard	5.3752784077	1.3333333333	12.2060726455
50	RM	3.9318256327	8.7193173755	Reg	Inside	OldTown	Artery	1Fam	1.5Fin	7	5	1931	1950	Gable	Wd Shng	None	6.047372179	TA	TA	BrkTil	TA	No	Unf	5.313205979	952	6.8585650348	Gd	Y	FuseF	6.9295167708	6.6227363239	7.4809921629	0	0	2	0	2	TA	8	2	Detchd	1931	Unf	2	6.1484682959	Y	4	2008	WD	Abnorml	BrkFace	6.8585650348	1	11.7745202027
190	RL	3.9120230054	8.9119343362	Reg	Corner	BrkSide	Artery	2fmCon	1.5Unf	5	6	1939	1950	Gable	MetalSd	None	5.257495372	TA	TA	BrkTil	TA	No	GLQ	6.7464121286	140	6.8987145343	Ex	Y	SBrkr	6.9819346772	0	6.9819346772	1	0	1	0	2	TA	5	2	Attchd	1939	RFn	1	5.3230099791	Y	1	2008	WD	Normal	MetalSd	4.9416424226	1	11.6784399034
